Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Данилюк,Ігнат,Сергійович,Чоловік,1991-01-05,Астроном,селище Любомль,"проспект Отонівський, буд. 876, Вінниця, 61903",035 603 33 42,heorhiiartemenko@ukr.net
Твердохліб,Дарина,Валентинівна,Жінка,1996-05-12,Публіцист,місто Макіївка,"сквер Горбиста, буд. 988 кв. 07, Помічна, 09142",032 555-20-80,petliuravalerii@ukr.net
Голобородько,Охрім,Михайлович,Чоловік,1948-06-07,Кінолог,село Сокаль,"площа Театральний, буд. 30 кв. 708, Дрогобич, 02340",673 92 54,zabashtastefan@ukr.net
Александренко,Варфоломій,Зіновійович,Чоловік,1963-01-21,Живописець,село Городок,"сквер Мазепи Івана, буд. 6 кв. 2, Добропілля, 39587",674-87-45,ebarabash@ukr.net
Худяк,Василина,Дмитрівна,Жінка,1973-12-08,Педагог,село Зоринськ,"сквер Бодаревського, буд. 4, Дружківка, 13496",+380 69 912-99-08,veresvalerii@gmail.com
Фаренюк,Оксана,Сергіївна,Жінка,2008-05-28,Клоун,місто Канів,"сквер Акордна, буд. 35 кв. 55, Лохвиця, 64578",070 42 84,hadamenko@ukr.net
Туркало,Борис,Андрійович,Чоловік,2007-09-13,Дизайнер,село Ровеньки,"парк Новий, буд. 91 кв. 511, Кадіївка, 13356",022 906 53 38,iilchenko@gmail.com
Удовиченко,Святослав,Романович,Чоловік,1941-09-28,Дерун,село Нове Давидково,"узвіз Рєпіна, буд. 198, Мостиська, 31067",841-71-60,barannykviktor@ukr.net
Чекалюк,Олесь,Петрович,Чоловік,1986-11-04,Режисер,селище Дубляни,"набережна Вернидуба, буд. 6, Жашків, 23521",051 081 97 17,ievtushokvenedykt@ukr.net
Цюцюра,Златослава,Іванівна,Жінка,2007-04-08,Хореограф,село Стебник,"парк Басейна, буд. 8, Золоте, 73582",+380 05 358 97 24,iaroslav08@gmail.com
Єременко,Пармен,Тимофійович,Чоловік,1973-06-03,Фізик,місто Долина,"площа Юннатів 3-й, буд. 4, Кролевець, 42400",+380 57 596-03-74,ieroshenkoirena@gmail.com
Корпанюк,Аніта,Ярославівна,Жінка,1972-08-11,Провізор,селище Алчевськ,"проспект Джутовий, буд. 0, Дубно, 52247",491 30 92,olifirenkofrants@gmail.com
Артюх,Наталія,Іванівна,Жінка,1950-02-17,Фрілансер,місто Білопілля,"вулиця Трояндова, буд. 69 кв. 22, Лозова, 41488",+380 37 492-95-42,qmasliak@gmail.com
Бабійчук,Єва,Романівна,Жінка,1988-01-17,Фермер,село Бобровиця,"узвіз Львівська, буд. 25, Винники, 50101",784-88-36,viaremkiv@gmail.com
Харченко,Остап,Антонович,Чоловік,1986-03-08,Лікар,місто Енергодар,"проспект Чернігівська, буд. 974 кв. 674, Ківерці, 68564",107 41 09,aaron83@ukr.net
Василашко,Опанас,Васильович,Чоловік,1964-09-19,Флорист,село Христинівка,"провулок Пантелеймонівська, буд. 1, Бобровиця, 13351",+380 09 228-52-04,arkhymovychparmen@ukr.net
Рябець,Лесь,Олександрович,Чоловік,1990-09-14,Публіцист,село Олександрія,"набережна Віталія Блажка, буд. 9, Хотин, 06853",061 461-63-78,liliiakolisnychenko@gmail.com
Артимович,Валерій,Володимирович,Чоловік,1994-04-13,Секретар,село Мала Виска,"набережна Йосипа Фішера, буд. 46 кв. 09, Городня, 78283",499 44 67,marusia72@ukr.net
Журба,Ганна,Ярославівна,Жінка,1975-03-29,Слідчий,село Мостиська,"площа Тещин міст, буд. 017, Переяслав, 22443",+380 (76) 868-07-33,hordii49@gmail.com
Кабаненко,Опанас,Володимирович,Чоловік,1997-09-05,Фольклорист,село Святогірськ,"вулиця Героїв Зміїного, буд. 93, Дубляни, 88447",138 73 29,zlatoslavahaidamaka@gmail.com
Дашенко,Алла,Ярославівна,Жінка,2006-02-09,Історик,селище Ясинувата,"проспект Евлії Челебі, буд. 239, Славутич, 24554",+380 64 032-05-44,barabashvalerii@gmail.com
Терещук,Валерій,Михайлович,Чоловік,1985-11-13,Стропальник,селище Пустомити,"провулок Саймона Літмана, буд. 615, Верхньодніпровськ, 64009",+380 30 830-03-75,andriidzyndra@ukr.net
Архипенко,Ірена,Олегівна,Жінка,1965-06-05,Випробувач,місто Золотоноша,"парк Проектований 3-й, буд. 89 кв. 75, Вараш, 64693",606 30 00,hlemeshko@gmail.com
Рева,Наталія,Григорівна,Жінка,1943-08-07,Астрофізик,село Балта,"парк Аркадійська, буд. 19 кв. 4, Новий Буг, 15880",+380 59 002-81-84,demianshelest@ukr.net
Овчаренко,Франц,Ярославович,Чоловік,1962-02-15,Юрист,село Ірпінь,"узвіз Тінистий, буд. 7, Хоростків, 47296",028 870-17-02,shakhraizynovii@ukr.net
Дубенко,Давид,Романович,Чоловік,1992-05-09,Інженер,село Болград,"провулок Кавказька, буд. 30 кв. 0, Бахчисарай, 52295",+380 86 780-87-86,umanetsrostyslav@ukr.net
Шаблій,Онисим,Валентинович,Чоловік,1977-08-28,Публіцист,місто Вугледар,"площа Кортацці, буд. 43 кв. 176, Гірське, 82548",834-43-78,vadymdubyna@ukr.net
Гайдабура,Любов,Іванівна,Жінка,1972-07-06,Астронавт,місто Чугуїв,"вулиця Олександра Кошиця, буд. 6, Курахове, 01183",+380 (26) 038-72-27,jfesenko@gmail.com
Михайлюк,Мілена,Зіновіївна,Жінка,1992-02-23,Локсмайстер,місто Батурин,"сквер Маразліївська, буд. 728 кв. 91, Городня, 63658",630-43-68,hrechanykdemyd@gmail.com
Аронець,Устим,Ігорович,Чоловік,2000-03-19,Акушер,місто Залізне,"провулок Школярський, буд. 1 кв. 5, Тячів, 05544",+380 88 897-34-58,qvakhnii@gmail.com
Євтушок,Василина,Андріївна,Жінка,1983-09-06,Бухгалтер,село Могилів-Подільський,"провулок Каменярів, буд. 16, Полонне, 50007",+380 81 351-20-02,amvrosii36@gmail.com
Деркач,Емілія,Михайлівна,Жінка,1952-05-06,Художник,місто Гірське,"набережна Академіка Заболотного, буд. 10 кв. 61, Лутугине, 16359",+380 87 255-07-25,okseniia30@gmail.com
Яремків,Станіслав,Романович,Чоловік,1964-02-22,Флорист,місто Радомишль,"проспект Західний 1-й, буд. 335, Добропілля, 43171",+380 99 724-00-45,ada58@gmail.com
Лагода,Тарас,Петрович,Чоловік,1981-12-22,Пекар,селище Коростень,"набережна Троїцька, буд. 4, Охтирка, 83920",+380 67 404-72-82,tarasievdokymenko@gmail.com
Дашенко,Азар,Вікторович,Чоловік,1988-10-15,Бухгалтер,місто Верхівцеве,"проспект Євгена Крамаренка, буд. 0, Синельникове, 70146",438 95 50,orest29@gmail.com
Андрійчук,Орина,Андріївна,Жінка,2005-03-30,Інженер,селище Верхньодніпровськ,"сквер Ремонтна, буд. 014 кв. 9, Шепетівка, 04325",+380 (55) 603-76-14,khrystyna36@gmail.com
Атаманчук,Микита,Михайлович,Чоловік,1938-05-01,Ветеринар,село Камінь-Каширський,"набережна Балківська, буд. 06 кв. 8, Шостка, 30267",+380 71 252-77-33,demydiukhymenko@gmail.com
Охріменко,Мирон,Вікторович,Чоловік,1968-09-27,Єгер,село Інкерман,"вулиця Краснова, буд. 589 кв. 1, Болград, 57227",+380 79 505-55-01,zakharkhmara@gmail.com
Асаула,Августин,Васильович,Чоловік,1982-09-03,Бізнесмен,селище Вилкове,"проспект Вчительська, буд. 31 кв. 696, Чорноморськ, 37009",+380 06 712-24-39,azarzhalilo@ukr.net
Василевич,Ярослава,Ярославівна,Жінка,1944-09-13,Нотаріус,селище Кальміуське,"сквер Георгія Гамова, буд. 22 кв. 25, Гадяч, 11366",+380 95 312 02 93,panteleimontykhyi@gmail.com
Шахрай,Ярослава,Зіновіївна,Жінка,1953-02-16,Підприємець,місто Нова Одеса,"набережна Тепличний 2-й, буд. 50 кв. 0, Кіцмань, 62938",633 40 63,havrylo95@ukr.net
Верменич,Ада,Максимівна,Жінка,1966-08-29,Перекладач,село Могилів-Подільський,"провулок Романтичний, буд. 908 кв. 050, Зимогір'я, 41196",010 823-30-79,bohodar50@ukr.net
Перебийніс,Віктор,Вікторович,Чоловік,2000-07-12,Мінералог,село Сніжне,"набережна 10-та Лінія Марії Демченко, буд. 807, Тетіїв, 43103",931 39 92,oksanababenko@ukr.net
Пустовіт,Аніта,Антонівна,Жінка,2004-07-16,Петрограф,селище Ланівці,"вулиця Лиманчик 2-й Лінія 3-тя, буд. 70, Самбір, 58771",+380 66 618-00-79,anton67@ukr.net
Ільєнко,Марко,Володимирович,Чоловік,1987-01-27,Менеджер,місто Овруч,"провулок Карантинний узвіз, буд. 8, Хирів, 23651",042 038-64-19,ievagerus@gmail.com
Євтушенко,Алла,Антонівна,Жінка,2003-09-08,Музикант,селище Святогірськ,"сквер Наявний 1-й, буд. 9, Селидове, 79125",029 166-41-28,okhrimkolesnychenko@ukr.net
Сиротенко,Єва,Ярославівна,Жінка,1953-10-11,Адвокат,селище Вільнянськ,"провулок Роздольна, буд. 53, Роздільна, 72552",+380 (82) 847-91-66,boryslav35@gmail.com
Пилипенко,Миколай,Романович,Чоловік,1947-06-08,Фольклорист,селище Дебальцеве,"провулок Василя Кандинського 5-й, буд. 49, Кропивницький, 33510",+380 24 425-53-38,danylokonoplenko@gmail.com
Гриценко,Орест,Олегович,Чоловік,1982-10-06,Адвокат,селище Шостка,"провулок Каркашадзе, буд. 89, Лозова, 58178",087 293 54 18,aleksiukvarvara@ukr.net
Дзиндра,Галина,Ярославівна,Жінка,1977-06-30,Водій,село Любомль,"провулок Юхима Геллера, буд. 2 кв. 87, Голубівка, 34942",+380 74 184 80 55,orynaperepelytsia@gmail.com
Єсипенко,Степан,Ігорович,Чоловік,1965-12-20,Намотувальник,селище Перемишляни,"шосе 5-та Лінія Марії Демченко, буд. 6 кв. 09, Миколаївка, 21800",+380 57 871-33-25,iemelianenkoielysei@ukr.net
Андрійчук,Демʼян,Володимирович,Чоловік,1941-04-06,Громадський діяч,село Алушта,"провулок Майка Йогансена, буд. 4, Богодухів, 49489",+380 07 284 76 47,vladyslavdrobakha@gmail.com
Андрейко,Опанас,Антонович,Чоловік,1969-04-26,Ґрунтознавець,місто Селидове,"сквер Георгія Гамова, буд. 9 кв. 50, Кілія, 43621",049 348 20 18,bohodar54@gmail.com
Тимчук,Прохір,Дмитрович,Чоловік,1958-01-18,Дипломат,місто Нетішин,"шосе Чорничний, буд. 97 кв. 62, Кадіївка, 21102",+380 57 396-85-57,ykanivets@gmail.com
Приймак,Богодар,Ігорович,Чоловік,1964-03-12,Економіст,місто Красноперекопськ,"проспект Строганов міст, буд. 3, Приморськ, 65747",+380 35 978-34-06,zlatoslavamazur@gmail.com
Жайворон,Михайлина,Максимівна,Жінка,1961-10-02,Пекар,селище Інкерман,"шосе Мариністів, буд. 629, Ладижин, 26327",006 754 67 64,lhodunok@ukr.net
Черненко,Венедикт,Ярославович,Чоловік,1967-07-06,Футболіст,селище Зугрес,"площа Азовський, буд. 5 кв. 09, Іллінці, 32234",+380 27 495-18-28,petliuranadiia@ukr.net
Шаповал,Климент,Васильович,Чоловік,2001-11-03,Державний службовець,село Оріхів,"парк Василя Кандинського 2-й, буд. 5 кв. 769, Васильків, 14451",031 071-04-37,babiukvasylyna@ukr.net
Засядько,Любов,Валентинівна,Жінка,2004-09-25,Художник,селище Щолкіне,"шосе Каретний, буд. 1 кв. 4, Тульчин, 42527",069 074 22 92,anita28@gmail.com
Рак,Василина,Василівна,Жінка,1945-12-16,Правник,село Конотоп,"сквер Мазепи Івана, буд. 6, Іллінці, 14797",+380 62 150-50-76,aaron28@gmail.com
Василечко,Омелян,Михайлович,Чоловік,1951-12-26,Астроном,місто Христинівка,"сквер Гонтаренко, буд. 69, Українськ, 12399",439-38-01,lbabiak@gmail.com
Гавришкевич,Симон,Максимович,Чоловік,1978-08-31,Диригент,селище Олександрія,"проспект Квантовий, буд. 291, Авдіївка, 19506",668-60-28,petliurastanislav@ukr.net
Дейсун,Камілла,Тимофіївна,Жінка,1958-07-11,Державний службовець,селище Коломия,"площа Іванівський переїзд, буд. 1 кв. 638, Бережани, 68981",142 52 67,mykhailynahrytsenko@gmail.com
Тригуб,Амалія,Сергіївна,Жінка,1938-01-25,Музикознавець,місто Андрушівка,"вулиця Лінійна, буд. 098 кв. 6, Чорнобиль, 37800",794 74 26,myroslaviemelianenko@ukr.net
Оліфіренко,Веніямин,Васильович,Чоловік,1997-03-25,Професор,місто Лутугине,"проспект Проектуєма, буд. 6 кв. 7, Куп'янськ, 01419",041 053-61-61,fandriishyna@ukr.net
Єрошенко,Костянтин,Ярославович,Чоловік,1982-10-14,Мірошник,село Золоте,"узвіз Поперечний, буд. 07, Златопіль, 91580",031 001 35 18,heorhiibezborodko@ukr.net
